,"ADC-PCM4202-SE Bill of Materials Release 1.0",,,,,
,"24/01/16",,,,,
"Id","Designator","Package","Quantity","Designation","Detail",
"1","C413,C415,C423,C424","SMD-0805","4","1n","50V NP0 5%",
"2","R411,R412,R413,R414","SMD-1206","4","1k5","MELF 0204",
"3","R429,R427,R403,R404,R405,R406,R407,R408,R409,R410,R423,R424,R425,R426,R431,R433","SMD-1206","16","1k","MELF 0204",
"4","P201,P202,P206,P207","MountingHole_3mm","4","PIN","Mounting hole only",
"5","C201,C202,C210,C215,C217","CAP-TH-D8mmP3.5mm","5","220u","'=>35V eg Panasonic EEU-FC1V221L",
"6","C203,C204,C211,C218,C219,C226,C228,C232,C303,C310,C315,C329,C224,C235","SMD-0805","14","22u","35V X5R 20%",
"7","C205,C206,C214,C220,C221,C227,C229,C233,C304,C311,C319,C322,C323,C325,C326,C328,C332,C411,C412,C417,C418,C421,C422,C427,C428,C431,C432,C433,C434,C437,C438,C441,C442,C225,C236,C237,C409,C410,C449,C450","SMD-0805","40","100n","50V X7R 10%",
"8","C207,C212,C213,C301,C308,C401,C402,C405,C406","SMD-0805","9","100p","50V NP0 5%",
"9","C208,C209,C216,C222,C223,C230,C234,C320,C324,C429,C430,C439,C440,C443,C444","SMD-0805","15","10n","50V X7R 10%",
"10","C231,C302,C309,C312,C331,C238","CAP-TH-D6.3mmP2.5mm","6","220u","'=>16V eg Panasonic EEU-FR1C221",
"11","C305,C313","SMD-0603","2","1u","16V X7R 10%",
"12","C306,C316,C314,C330","SMD-0603","4","100n","50V X7R 10%",
"13","C307,C318,C317,C327","SMD-0603","4","10n","50V X7R 10%",
"14","C321","SMD-0805","1","1u","25V X7R 10%",
"15","C403,C407","CAP-TH-D10mmP5mm","2","100u","'=>50V Panasonic EEUFC1H101 - In audio path",
"16","C404,C408","CAP_TH_5mm","2","100n","63V 5mm Film Capacitor",
"17","C419,C420,C435,C436","SMD-1206","4","22u","35V X5R 20%",
"18","C425,C426","SMD-0805","2","2n7","50V NP0 5%",
"19","D201,D202,D203","DIODE-SMA","3","B230A","Diodes Inc. B230A-13-F",
"20","D204,D205,D206,D207","DIODE-SOD-123","4","SBR1A40S1","Diodes Inc. SBR1A40S1",
"21","D301,D302","SMD-1206","2","LED","Green or Red 1206 LED eg Avago HSMG-C150 (or 0805 parts may fit)",
"22","L201,L202,L203,L301,L302","SMD-0805","5","600R@100MHz","'=>1A eg Wruth 742792040, TDK MPZ2012S601A",
"23","P203,P204,P205","CONN-2WAY-2.54mm-3.81mm-SPACING","3","CONN_2x1","Any 2.54mm  or 3.81mm screw terminal eg CamdenBoss CTB0308/2",
"24","P301,P302,P303,P304,P305,P306,P307,P308,P401,P402","CONN_SIL_2","10","CONN_2x1","P301-P307 are 2.54mm pitch pin header (jumpers), the rest can wire directly",
"25","P309","CONN_DIL_2X5_BOX","1","CONN_02X05","2x5 2.54mm box header",
"26","R201,R202,R203,R302,R307","SMD-0805","5","47R","100mW",
"27","R204,R321,R322,R323,R324,R329","SMD-0805","6","0R","100mW",
"28","R205,R317,R318,R319,R320,R310","SMD-0805","6","N/F","NOT FITTED",
"29","R206","SMD-0805","1","2k2","100mW",
"30","R208","SMD-0805","1","6k8","100mW",
"31","R301,R303,R304,R305,R306,R308,R309","SMD-0805","7","10k","100mW",
"32","R314,R325,R327","SMD-0805","3","1k","100mW",
"33","R315","SMD-0805","1","100k","100mW",
"34","R316","SMD-0805","1","100R","100mW",
"35","R326,R328,R209","SMD-0805","3","470R","100mW",
"36","R415,R416,R417,R418","SMD-1206","4","40R2","MELF 0204",
"37","R419,R420,R421,R422","SMD-1206","4","100R","MELF 0204",
"38","TR301,TR302","IC-SOT23","2","TRAN-NPN-BC847","BC847B SOT-23",
"39","U201","IC-SOT223-6","1","TPS7A4533","Texas Instruments TPS7A4533DCQT low noise regulator",
"40","U202","IC-SOT223-6","1","TPS7A4501","Texas Instruments TPS7A4501DCQT low noise regulator",
"41","U302","IC-SOT143","1","ADM811TART","Analog Devices ADM811TART",
"42","U403,U404","IC_SOIC_8","2","OPA1641AID","Texas Instruments OPA1641AID or low noise JFET single op-amp",
"43","U301","IC-SSOP28","1","IC-ADC-PCM4202","Texas Instruments PCM4202DBT",
"44","U401,U402","IC_SOIC_8","2","OPA1642AID","Texas Instruments OPA1642AID or other dual op-amp",
"45","C445,C446","CAP-TH-D6.3mmP2.5mm","2","47u","'=>16V eg Panasonic EEUFR1H470",
"46","C448,C447","SMD-0805","2","220p","50V NP0 5%",
"47","P310","CONN_SIL_3","1","CONN_3x1","2.54mm pitch pin header or wire directly",
"48","D208","SMD-0805","1","LED","Green or Red 0805 LED eg Avago HSMC-C170",
"49","C414,C416,C451,C452","SMD-0805","4","10u","25V X7R 10%",
